Stock NO,certificate number,LAB,SHAPE,SIZE,COLOR,CLARITY,CUT,POLISH,SYMMETRY,FLOUR.,DISCOUNT,MEESUREMENT,DEPTH,TABLE,image video link,,
6315470875,6315470875,GIA,ROUND,0.50,H,VS2,VG,EX,VG,NONE,-33.5,5.04-5.07x3.16,62.6,58,https://s3.amazonaws.com/elanstars/index.html?d=6315470875,,
JD-X-7,6315496242,GIA,ROUND,0.30,E,SI2,EX,EX,VG,STRONG,-44,4.33-4.37x2.60,59.8,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-7,,
JD-X-25,5316496419,GIA,ROUND,0.30,E,SI2,EX,EX,EX,STRONG,-46,4.31-4.33x2.65,61.3,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-25,,
JD-X-16,6312496421,GIA,ROUND,0.35,G,SI2,EX,EX,EX,FAINT,-38,4.46-4.49x2.80,62.6,58,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-16,,
JD-X-14,2314464391,GIA,ROUND,0.50,Q-R VL Brown,VS1,F,EX,VG,FAINT,-50,4.77-4.84x3.27,68,58,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-14,,
JD-Y-59,6311676132,GIA,ROUND,0.30,D,SI1,VG,VG,VG,MEDIUM,-40,4.18-4.21x2.70,64.4,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-59,,
JD-X-13,6311498603,GIA,ROUND,0.51,G,I2,EX,EX,VG,STRONG,-5,5.02-5.07x3.22,63.7,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-13,,
JD-X-18,3315470561,GIA,ROUND,0.50,E,SI2,EX,EX,EX,MEDIUM,-45,5.06-5.08x3.19,62.9,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-18,,
JD-X-15,7316526638,GIA,ROUND,0.40,F,VS2,VG,VG,VG,MEDIUM,-44,4.79-4.80x2.83,58.9,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-15,,
JD-X-11,1315472499,GIA,ROUND,0.30,J,VVS2,GD,VG,GD,MEDIUM,-45,4.14-4.18x2.73,65.6,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-11,,
JD-YA-7,2316674969,GIA,ROUND,0.70,G,SI2,VG,EX,EX,MEDIUM,-28,5.80-5.82x3.40,58.6,62,https://s3.amazonaws.com/elanstars/index.html?d=JD-YA-7,,
180000178070,180000178070,HRD,ROUND,3.08,K,SI1,EX,EX,EX,NONE,-38,9.29*9.35*5.74,61.5,59,https://s3.amazonaws.com/elanstars/index.html?d=180000178070,,
JD-V-3,7308951733,GIA,ROUND,1.60,G,VS2,EX,EX,EX,NONE,-36,7.41*7.44*4.69,63.2,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-V-3,,
JD-X-22,6312469570,GIA,ROUND,1.00,I,SI2,VG,GD,VG,MEDIUM,-45,6.20*6.31*4.00,63.9,63,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-22,,
JD-Y-62,5316677954,GIA,ROUND,0.30,J,SI1,EX,EX,VG,NONE,-28,4.26-4.30x2.69,62.9,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-62,,
JD-Y-51,341808242,IGI,ROUND,0.30,I,SI2,EX,EX,VG,NONE,-41,4.24-4.27x2.67,62.5,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-51,,
JD-Y-77,6312676148,GIA,ROUND,0.30,K,VVS1,EX,EX,EX,STRONG,-37,4.32-4.34x2.66,61.5,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-77,,
6301953142,6301953142,GIA,ROUND,0.30,E,SI2,EX,EX,VG,NONE,-37,4.27*4.31*2.67,62.3,57,https://s3.amazonaws.com/elanstars/index.html?d=6301953142,,
JD-Y-15,6312675043,GIA,ROUND,0.55,E,IF,EX,EX,EX,NONE,-40,5.20-5.24x3.27,62.6,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-15,,
JD-Y-32,341808243,IGI,ROUND,0.70,J,SI2,VG,EX,VG,NONE,-45,5.52*5.59*3.58,64.3,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-32,,
JD-YA-29,6312675310,GIA,ROUND,0.60,H,I1,VG,EX,EX,MEDIUM,-43,5.33-5.37x3.35,62.6,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-YA-29,,
332889290,332889290,IGI,ROUND,0.90,D,SI2,VG,EX,VG,NONE,-50,6.06*6.13*3.88,63.7,54,https://s3.amazonaws.com/elanstars/index.html?d=332889290,,
3305419525,3305419525,GIA,ROUND,0.90,E,SI1,EX,EX,VG,MEDIUM,-50,6.11*6.14*3.86,63,56,https://s3.amazonaws.com/elanstars/index.html?d=3305419525,,
JD-Y-6,341808241,IGI,ROUND,1.50,M,VS1,VG,EX,VG,STRONG,-37,7.55-7.61x4.23,55.7,65,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-6,,
JD-Y-46,5316675226,GIA,ROUND,0.50,G,SI2,G,EX,G,MEDIUM,-45,4.81-4.87x3.22,66.6,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-46,,
JD-YA-8,341808244,IGI,ROUND,0.50,E,SI2,EX,EX,VG,NONE,-52,5.04-5.08x3.07,60.7,59.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-YA-8,,
JD-Y-21,341807552,IGI,ROUND,0.50,D,SI2,EX,EX,EX,STRONG,-40,5.06*5.08*3.06,62.4,56.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-21,,
PPS-X-09,6295784326,GIA,ROUND,1.01,F,IF,VG,EX,VG,NONE,-48,6.16-6.25*4.04,65.2,57,https://s3.amazonaws.com/elanstars/index.html?d=PPS-X-09,,
PPS-X-13,3285235108,GIA,ROUND,0.49,E,VVS1,EX,EX,EX,NONE,-7,5.01*5.04*3.18,63.3,57,https://s3.amazonaws.com/elanstars/index.html?d=PPS-X-13,,
SPRL-413,341896094,IGI,ROUND,1.70,H,VS1,EX,EX,EX,NONE,-35,7.53*7.59*4.77,63.1,55,https://s3.amazonaws.com/elanstars/index.html?d=SPRL-413,,
SPRL-346,324818121,IGI,ROUND,2.01,J,VS1,EX,EX,EX,VERY SLIGHT,-42,8.08*8.13*5.02,62.1,54.5,https://s3.amazonaws.com/elanstars/index.html?d=SPRL-346,,
SPRL-414,341896467,IGI,ROUND,1.70,H,VS1,EX,EX,VG,NONE,-35,7.53*7.60*4.74,62.6,57.5,https://s3.amazonaws.com/elanstars/index.html?d=SPRL-414,,
